shift_id,timestamp,weather_condition,visibility_meters,temperature_celsius,wind_speed_kmph,worker_fatigue_hours,overtime_workers_count,equipment_fault_count,communication_failure_count,active_staff_count,aircraft_on_ramp_count,day_traffic_profile,safety_risk_score,risk_category
JED-SHIFT-32824,2055-02-13T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,203,20,WEEKEND_RUSH,0.88,HIGH_RISK
JED-SHIFT-16299,2040-01-14T16:00:00Z,CLEAR,9298,29.6,12.0,3.6,2,0,0,98,5,WEEKEND_RUSH,0.38,LOW_RISK
JED-SHIFT-28506,2051-03-06T16:00:00Z,CLEAR,5105,35.0,20.0,5.0,5,4,3,125,20,WEEKDAY_CALM,0.65,MODERATE_RISK
JED-SHIFT-06690,2031-04-08T16:00:00Z,CLEAR,9689,30.8,21.0,4.8,1,1,1,89,4,WEEKDAY_CALM,0.29,LOW_RISK
JED-SHIFT-26894,2049-09-15T08:00:00Z,CLEAR,3493,33.0,28.0,5.0,8,3,2,113,18,WEEKDAY_CALM,0.63,MODERATE_RISK
JED-SHIFT-36573,2058-07-16T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,202,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-12336,2036-06-02T16:00:00Z,CLEAR,9335,26.0,7.5,0.0,3,1,1,95,10,WEEKDAY_CALM,0.35,LOW_RISK
JED-SHIFT-29592,2052-03-02T16:00:00Z,CLEAR,3191,31.0,26.0,7.0,6,4,3,171,22,WEEKEND_RUSH,0.61,MODERATE_RISK
JED-SHIFT-18949,2042-06-16T00:00:00Z,CLEAR,9948,29.6,4.5,3.6,0,0,0,108,7,WEEKDAY_CALM,0.28,LOW_RISK
JED-SHIFT-31068,2053-07-07T16:00:00Z,CLEAR,4667,37.0,17.0,7.0,7,4,3,127,20,WEEKDAY_CALM,0.67,MODERATE_RISK
JED-SHIFT-22242,2045-06-17T16:00:00Z,CLEAR,4841,31.0,26.0,5.0,6,4,3,101,22,WEEKEND_RUSH,0.61,MODERATE_RISK
JED-SHIFT-13788,2037-09-29T16:00:00Z,CLEAR,9787,28.4,3.0,2.4,3,1,1,107,6,WEEKDAY_CALM,0.27,LOW_RISK
JED-SHIFT-05129,2029-11-04T08:00:00Z,CLEAR,9128,29.6,19.5,3.6,0,0,0,88,3,WEEKDAY_CALM,0.28,LOW_RISK
JED-SHIFT-09126,2033-06-28T16:00:00Z,CLEAR,9125,26.0,7.5,0.0,1,1,1,65,8,WEEKDAY_CALM,0.25,LOW_RISK
JED-SHIFT-35042,2057-02-21T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,221,12,WEEKDAY_CALM,0.9,HIGH_RISK
JED-SHIFT-03511,2028-05-14T00:00:00Z,CLEAR,9510,20.0,0.0,0.0,2,0,0,90,9,WEEKDAY_CALM,0.3,LOW_RISK
JED-SHIFT-16442,2040-03-02T08:00:00Z,CLEAR,9441,21.2,1.5,1.2,1,1,1,61,4,WEEKEND_RUSH,0.21,LOW_RISK
JED-SHIFT-19464,2042-12-04T16:00:00Z,CLEAR,9463,23.6,12.0,3.6,3,1,1,83,10,WEEKDAY_CALM,0.23,LOW_RISK
JED-SHIFT-26284,2049-02-24T00:00:00Z,DUST_HAZE,5883,33.0,18.0,7.0,8,2,1,143,17,WEEKDAY_CALM,0.63,MODERATE_RISK
JED-SHIFT-36217,2058-03-20T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,196,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-17408,2041-01-18T08:00:00Z,CLEAR,9407,28.4,10.5,2.4,3,1,1,67,10,WEEKEND_RUSH,0.27,LOW_RISK
JED-SHIFT-10920,2035-02-16T16:00:00Z,CLEAR,9919,30.8,21.0,4.8,3,1,1,119,10,WEEKEND_RUSH,0.39,LOW_RISK
JED-SHIFT-30867,2053-05-01T16:00:00Z,CLEAR,4466,36.0,26.0,6.0,6,4,3,166,15,WEEKDAY_CALM,0.66,MODERATE_RISK
JED-SHIFT-34437,2056-08-03T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,216,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-12702,2036-10-02T16:00:00Z,CLEAR,9701,21.2,16.5,1.2,1,1,1,101,8,WEEKDAY_CALM,0.21,LOW_RISK
JED-SHIFT-35677,2057-09-21T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,206,20,WEEKEND_RUSH,0.88,HIGH_RISK
JED-SHIFT-34090,2056-04-10T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,219,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-21262,2044-07-26T00:00:00Z,DUST_HAZE,3861,31.0,21.0,5.0,6,2,1,161,14,WEEKDAY_CALM,0.61,MODERATE_RISK
JED-SHIFT-26174,2049-01-18T08:00:00Z,CLEAR,5773,33.0,28.0,5.0,8,3,2,113,19,WEEKDAY_CALM,0.63,MODERATE_RISK
JED-SHIFT-28284,2050-12-22T16:00:00Z,CLEAR,4883,33.0,23.0,7.0,8,4,3,143,15,WEEKDAY_CALM,0.63,MODERATE_RISK
JED-SHIFT-37267,2059-03-05T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,196,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-32507,2054-10-30T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,186,12,WEEKEND_RUSH,0.9,HIGH_RISK
JED-SHIFT-33382,2055-08-18T00:00:00Z,SANDSTORM,300,38.0,55.0,7.0,8,3,2,211,20,WEEKDAY_CALM,0.88,HIGH_RISK
JED-SHIFT-39381,2061-02-06T16:00:00Z,DUST_HAZE,1800,35.0,25.0,6.0,6,8,4,210,19,WEEKDAY_CALM,0.86,HIGH_RISK
JED-SHIFT-20846,2044-03-09T08:00:00Z,CLEAR,3445,35.0,25.0,5.0,5,3,2,145,18,WEEKDAY_CALM,0.65,MODERATE_RISK
JED-SHIFT-00253,2025-05-24T00:00:00Z,CLEAR,9252,22.4,18.0,2.4,0,0,0,72,7,WEEKEND_RUSH,0.32,LOW_RISK
JED-SHIFT-35120,2057-03-19T08:00:00Z,EXTREME_HEAT,7000,46.5,20.0,9.5,12,2,1,199,12,WEEKDAY_CALM,0.9,HIGH_RISK
JED-SHIFT-03435,2028-04-18T16:00:00Z,CLEAR,9434,24.8,21.0,4.8,2,0,0,74,5,WEEKDAY_CALM,0.34,LOW_RISK
JED-SHIFT-01279,2026-05-01T00:00:00Z,CLEAR,9278,29.6,4.5,3.6,2,0,0,78,9,WEEKEND_RUSH,0.38,LOW_RISK
JED-SHIFT-08286,2032-09-21T16:00:00Z,CLEAR,9285,26.0,7.5,0.0,1,1,1,65,8,WEEKDAY_CALM,0.25,LOW_RISK
JED-SHIFT-15216,2039-01-18T16:00:00Z,CLEAR,9215,26.0,7.5,0.0,3,1,1,95,10,WEEKDAY_CALM,0.35,LOW_RISK
JED-SHIFT-02625,2027-07-23T16:00:00Z,CLEAR,9624,24.8,21.0,4.8,0,0,0,104,3,WEEKEND_RUSH,0.24,LOW_RISK
